09	35114
0A	42413
20	728826
21	2159
22	12021
27	56024
28	392
29	392
2C	53636
2D	1249
2E	34625
2F	21
30	3132
31	16284
32	11477
33	7346
34	5317
35	4385
36	3920
37	3638
38	3415
39	3255
3A	10884
3B	8199
3F	3222
40	7
41	8000
42	2330
43	5528
44	8487
45	6406
46	1915
47	7994
48	598
49	9618
4A	7
4B	356
4C	2835
4D	5064
4E	3503
4F	1679
50	4763
51	2299
52	1658
53	14857
54	2434
55	745
56	1254
57	1
58	4
5A	662
5B	35554
5D	35554
61	366687
62	26818
63	139220
64	131326
65	410025
66	37591
67	71918
68	38776
69	389985
6A	2
6B	746
6C	220705
6D	82289
6E	230770
6F	355822
70	85135
71	15145
72	231437
73	171928
74	201715
75	111993
76	58768
77	18
78	3
79	1
7A	22143
7D	1
CC	20
E9	7062
EC	4101
ED	1
EF	2
F3	6
F4	1
